"","Inducer","Concurrent","Comparison","Response.mean.mean","Response.mean.sd","Inducer2","Concurrent2","pValue","ZValue","effsize"
"33","Color YB","Affect HS","Affect HS-Color YB",1,0,"Yellow/Blue","Happy/Sad",0.131634592382001,-1.50768724163049,0.329004329004329
"34","Affect HS","Color YB","Affect HS-Color YB",0.857142857142857,0.377964473009227,"Happy/Sad","Yellow/Blue",9.79027274003789e-09,-5.73432278442299,0.983428244278994
"35","Noise","Affect HS","Affect HS-Noise",0.411764705882353,0.475502829830139,"Noisy/Tonal","Happy/Sad",0.0199569045307133,-2.32715711578355,0.439791356438402
"36","Affect HS","Noise","Affect HS-Noise",0.175,0.372579910185297,"Happy/Sad","Noisy/Tonal",0.00596207853209371,-2.74985970461435,0.972222222222222
"37","Pitch","Affect HS","Affect HS-Pitch",0.458333333333333,0.402799546607832,"High Pitch/Low Pitch","Happy/Sad",0.116896858252506,-1.56793261921956,0.419047619047619
"38","Affect HS","Pitch","Affect HS-Pitch",0.57843137254902,0.4791400248348,"Happy/Sad","High Pitch/Low Pitch",0.129430674437906,-1.51635079315149,0.619047619047619
"39","Shape","Affect HS","Affect HS-Shape",0.4,0.430945803685667,"Jagged/Curvy","Happy/Sad",0.177938674206831,-1.34712904797556,0.373626373626374
"40","Affect HS","Shape","Affect HS-Shape",0.525,0.472256620694166,"Happy/Sad","Jagged/Curvy",0.000101397839486174,-3.88722241250629,0.72183908045977
"41","Size","Affect HS","Affect HS-Size",0.923076923076923,0.187766904049703,"Large/Small","Happy/Sad",0.705649642215406,-0.377705149155021,0.0713795638266245
"42","Affect HS","Size","Affect HS-Size",0.78125,0.406970514902493,"Happy/Sad","Large/Small",9.31420580523817e-05,-3.90779558164233,0.766381766381766
"43","Speed","Affect HS","Affect HS-Speed",0.9375,0.25,"Fast/Slow","Happy/Sad",0.0348061395276734,-2.11060660445075,0.346981588371703
"44","Affect HS","Speed","Affect HS-Speed",0.947368421052632,0.229415733870562,"Happy/Sad","Fast/Slow",2.8190763360612e-07,-5.13515763512426,0.86800006480538
"45","Amp","Affect PD","Affect PD-Amp",0.384615384615385,0.468372949019496,"Loud/Quiet","Pleased/Disgusted",4.59184346258302e-10,-6.23245401825122,0.804606353956349
"46","Affect PD","Amp","Affect PD-Amp",0.545454545454545,0.522232967867094,"Pleased/Disgusted","Loud/Quiet",2.7020326474064e-06,-4.69226012219507,0.92022792022792
"47","Brightness","Affect PD","Affect PD-Brightness",0.821428571428571,0.372473171834246,"Bright/Dark","Pleased/Disgusted",0.0881597528488954,-1.70518593227409,0.284197655379015
"48","Affect PD","Brightness","Affect PD-Brightness",0.75,0.452267016866645,"Pleased/Disgusted","Bright/Dark",0.0149676930133579,-2.43315981116462,0.47718189833916
"49","Color RB","Affect PD","Affect PD-Color RB",0.75,0.5,"Red/Blue","Pleased/Disgusted",4.52943899502055e-06,-4.58548033860367,0.81060606060606
"50","Affect PD","Color RB","Affect PD-Color RB",0.5,0.707106781186548,"Pleased/Disgusted","Red/Blue",0.796282037872935,-0.258161800198777,0.0288633667219092
"51","Color RG","Affect PD","Affect PD-Color RG",0.25,0.462910049886276,"Red/Green","Pleased/Disgusted",6.21983443931161e-07,-4.98426326892468,0.550419799146156
"52","Affect PD","Color RG","Affect PD-Color RG",0,0,"Pleased/Disgusted","Red/Green",5.25957356193489e-07,-5.0165933180514,0.553990055809294
"53","Color RY","Affect PD","Affect PD-Color RY",0.5,0.707106781186548,"Red/Yellow","Pleased/Disgusted",2.38078975793963e-12,-7.0101404686505,0.905005242988601
"54","Affect PD","Color RY","Affect PD-Color RY",1,0,"Pleased/Disgusted","Red/Yellow",4.70190327990307e-13,-7.23364776597598,0.933859910998515
"55","Color YB","Affect PD","Affect PD-Color YB",1,0,"Yellow/Blue","Pleased/Disgusted",0.695118537566643,-0.391918358845308,0.0768615138264418
"56","Affect PD","Color YB","Affect PD-Color YB",0.666666666666667,0.516397779494322,"Pleased/Disgusted","Yellow/Blue",0.0718896406795997,-1.79981635463912,0.323256559967688
"57","Noise","Affect PD","Affect PD-Noise",0.214285714285714,0.42581531362632,"Noisy/Tonal","Pleased/Disgusted",0.0682550672427295,-1.82331915211466,0.380188324642231
