,trialNum,rt,subject,condition,InducerL,InducerR,ConcurrentL,ConcurrentR,choice
23,24.0,4868.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Pitch-Piano-L,Pitch-Piano-H,0
24,25.0,4702.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Brightness-Circles-H,Brightness-Circles-L,0
25,26.0,2637.0,0ITFbU0J3v,Color-29,Brightness-Circles-H,Brightness-Circles-L,Color-YB-H,Color-YB-L,0
26,27.0,3693.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Affect-PD-H,Affect-PD-L,0
27,28.0,2654.0,0ITFbU0J3v,Color-29,Shape-BK4-L,Shape-BK4-H,Color-RB-L,Color-RB-H,0
28,29.0,7579.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Pitch-Piano-H,Pitch-Piano-L,1
29,30.0,3933.0,0ITFbU0J3v,Color-29,Size-Squares-H,Size-Squares-L,Color-RY-L,Color-RY-H,1
30,31.0,2453.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Shape-BK4-L,Shape-BK4-H,0
31,32.0,7012.0,0ITFbU0J3v,Color-29,Pitch-Piano-H,Pitch-Piano-L,Color-RY-L,Color-RY-H,1
32,33.0,5676.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Pitch-Piano-L,Pitch-Piano-H,1
33,34.0,3957.0,0ITFbU0J3v,Color-29,Affect-PD-H,Affect-PD-L,Color-RY-L,Color-RY-H,0
34,35.0,3412.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Speed-SP3-H,Speed-SP3-L,0
35,36.0,3462.0,0ITFbU0J3v,Color-29,Shape-BK4-H,Shape-BK4-L,Color-YB-H,Color-YB-L,0
36,37.0,6236.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Speed-SP3-L,Speed-SP3-H,0
37,38.0,8964.0,0ITFbU0J3v,Color-29,Amp-Hum-L,Amp-Hum-H,Color-RB-L,Color-RB-H,0
38,39.0,4085.0,0ITFbU0J3v,Color-29,Size-Squares-H,Size-Squares-L,Color-YB-H,Color-YB-L,0
39,40.0,4318.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Brightness-Circles-L,Brightness-Circles-H,1
40,41.0,3893.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Size-Squares-L,Size-Squares-H,0
41,42.0,7405.0,0ITFbU0J3v,Color-29,Noise-Tone-H,Noise-Tone-L,Color-YB-H,Color-YB-L,0
42,43.0,2892.0,0ITFbU0J3v,Color-29,Brightness-Circles-H,Brightness-Circles-L,Color-RY-L,Color-RY-H,0
43,44.0,4188.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Affect-PD-H,Affect-PD-L,1
44,45.0,4869.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Size-Squares-L,Size-Squares-H,1
45,46.0,3702.0,0ITFbU0J3v,Color-29,Affect-PD-H,Affect-PD-L,Color-YB-H,Color-YB-L,0
46,47.0,11452.0,0ITFbU0J3v,Color-29,Pitch-Piano-L,Pitch-Piano-H,Color-RB-L,Color-RB-H,0
47,48.0,3316.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Size-Squares-H,Size-Squares-L,1
48,49.0,3102.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Shape-BK4-H,Shape-BK4-L,0
49,50.0,5813.0,0ITFbU0J3v,Color-29,Amp-Hum-L,Amp-Hum-H,Color-RG-H,Color-RG-L,1
50,51.0,7588.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Speed-SP3-L,Speed-SP3-H,1
51,52.0,4554.0,0ITFbU0J3v,Color-29,Amp-Hum-H,Amp-Hum-L,Color-YB-H,Color-YB-L,0
52,53.0,20908.0,0ITFbU0J3v,Color-29,Color-RG-L,Color-RG-H,Amp-Hum-H,Amp-Hum-L,1
53,54.0,2486.0,0ITFbU0J3v,Color-29,Brightness-Circles-L,Brightness-Circles-H,Color-RB-L,Color-RB-H,0
54,55.0,3022.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Size-Squares-H,Size-Squares-L,1
55,56.0,2718.0,0ITFbU0J3v,Color-29,Color-YB-H,Color-YB-L,Brightness-Circles-H,Brightness-Circles-L,0
56,57.0,2518.0,0ITFbU0J3v,Color-29,Shape-BK4-L,Shape-BK4-H,Color-RG-H,Color-RG-L,1
57,58.0,3342.0,0ITFbU0J3v,Color-29,Color-RB-L,Color-RB-H,Affect-PD-L,Affect-PD-H,1
58,59.0,4916.0,0ITFbU0J3v,Color-29,Brightness-Circles-L,Brightness-Circles-H,Color-RG-H,Color-RG-L,1
59,60.0,5875.0,0ITFbU0J3v,Color-29,Noise-Tone-H,Noise-Tone-L,Color-RY-L,Color-RY-H,1
60,61.0,5284.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Noise-Tone-L,Noise-Tone-H,1
61,62.0,6068.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Amp-Hum-L,Amp-Hum-H,1
62,63.0,4845.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Affect-PD-L,Affect-PD-H,0
63,64.0,6358.0,0ITFbU0J3v,Color-29,Color-RY-H,Color-RY-L,Shape-BK4-L,Shape-BK4-H,1
0,1.0,4650.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Size-Diamonds-L,Size-Diamonds-H,0
1,2.0,12772.0,0Lu3AE4Qvo,Color-37,Amp-Hum-H,Amp-Hum-L,Color-RY-H,Color-RY-L,0
2,3.0,5499.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Brightness-Triangles-L,Brightness-Triangles-H,0
3,4.0,5214.0,0Lu3AE4Qvo,Color-37,Speed-SP2-H,Speed-SP2-L,Color-RY-H,Color-RY-L,1
4,5.0,9139.0,0Lu3AE4Qvo,Color-37,Pitch-Tone-L,Pitch-Tone-H,Color-RB-L,Color-RB-H,0
5,6.0,5842.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Shape-BK2-H,Shape-BK2-L,1
6,7.0,7753.0,0Lu3AE4Qvo,Color-37,Pitch-Tone-L,Pitch-Tone-H,Color-RG-H,Color-RG-L,0
7,8.0,5501.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Brightness-Triangles-L,Brightness-Triangles-H,1
8,9.0,15542.0,0Lu3AE4Qvo,Color-37,Pitch-Tone-H,Pitch-Tone-L,Color-YB-L,Color-YB-H,1
9,10.0,9591.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Amp-Hum-H,Amp-Hum-L,1
10,11.0,5958.0,0Lu3AE4Qvo,Color-37,Brightness-Triangles-H,Brightness-Triangles-L,Color-RY-H,Color-RY-L,1
11,12.0,7145.0,0Lu3AE4Qvo,Color-37,Noise-Tone-L,Noise-Tone-H,Color-RB-L,Color-RB-H,0
12,13.0,2882.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Brightness-Triangles-H,Brightness-Triangles-L,0
13,14.0,7332.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Noise-Tone-L,Noise-Tone-H,1
14,15.0,8555.0,0Lu3AE4Qvo,Color-37,Noise-Tone-H,Noise-Tone-L,Color-RY-H,Color-RY-L,0
15,16.0,4654.0,0Lu3AE4Qvo,Color-37,Size-Diamonds-H,Size-Diamonds-L,Color-RY-H,Color-RY-L,1
16,17.0,4316.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Shape-BK2-H,Shape-BK2-L,1
17,18.0,7826.0,0Lu3AE4Qvo,Color-37,Size-Diamonds-L,Size-Diamonds-H,Color-RB-L,Color-RB-H,0
18,19.0,5883.0,0Lu3AE4Qvo,Color-37,Shape-BK2-L,Shape-BK2-H,Color-RB-L,Color-RB-H,0
19,20.0,3847.0,0Lu3AE4Qvo,Color-37,Brightness-Triangles-H,Brightness-Triangles-L,Color-YB-L,Color-YB-H,1
20,21.0,6039.0,0Lu3AE4Qvo,Color-37,Affect-PD-L,Affect-PD-H,Color-RG-H,Color-RG-L,0
21,22.0,4988.0,0Lu3AE4Qvo,Color-37,Brightness-Triangles-L,Brightness-Triangles-H,Color-RG-H,Color-RG-L,1
22,23.0,5410.0,0Lu3AE4Qvo,Color-37,Amp-Hum-L,Amp-Hum-H,Color-RG-H,Color-RG-L,1
23,24.0,7802.0,0Lu3AE4Qvo,Color-37,Speed-SP2-L,Speed-SP2-H,Color-RB-L,Color-RB-H,1
24,25.0,3538.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Speed-SP2-L,Speed-SP2-H,1
25,26.0,6490.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Speed-SP2-L,Speed-SP2-H,0
26,27.0,6537.0,0Lu3AE4Qvo,Color-37,Amp-Hum-H,Amp-Hum-L,Color-YB-L,Color-YB-H,1
27,28.0,4882.0,0Lu3AE4Qvo,Color-37,Size-Diamonds-H,Size-Diamonds-L,Color-YB-L,Color-YB-H,0
28,29.0,4804.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Amp-Hum-L,Amp-Hum-H,1
29,30.0,4739.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Affect-PD-L,Affect-PD-H,1
30,31.0,7859.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Amp-Hum-H,Amp-Hum-L,0
31,32.0,4801.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Affect-PD-L,Affect-PD-H,1
32,33.0,4105.0,0Lu3AE4Qvo,Color-37,Shape-BK2-L,Shape-BK2-H,Color-RG-H,Color-RG-L,1
33,34.0,3629.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Size-Diamonds-H,Size-Diamonds-L,1
34,35.0,3858.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Speed-SP2-H,Speed-SP2-L,0
35,36.0,7497.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Noise-Tone-H,Noise-Tone-L,0
36,37.0,5603.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Affect-PD-H,Affect-PD-L,1
37,38.0,9460.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Pitch-Tone-H,Pitch-Tone-L,0
38,39.0,5214.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Pitch-Tone-L,Pitch-Tone-H,1
39,40.0,6564.0,0Lu3AE4Qvo,Color-37,Noise-Tone-H,Noise-Tone-L,Color-YB-L,Color-YB-H,0
40,41.0,5854.0,0Lu3AE4Qvo,Color-37,Amp-Hum-L,Amp-Hum-H,Color-RB-L,Color-RB-H,0
41,42.0,5675.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Noise-Tone-H,Noise-Tone-L,0
42,43.0,10029.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Amp-Hum-L,Amp-Hum-H,1
43,44.0,3437.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Shape-BK2-L,Shape-BK2-H,1
44,45.0,3548.0,0Lu3AE4Qvo,Color-37,Brightness-Triangles-L,Brightness-Triangles-H,Color-RB-L,Color-RB-H,0
45,46.0,2848.0,0Lu3AE4Qvo,Color-37,Speed-SP2-L,Speed-SP2-H,Color-RG-H,Color-RG-L,0
46,47.0,2724.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Brightness-Triangles-H,Brightness-Triangles-L,1
47,48.0,5813.0,0Lu3AE4Qvo,Color-37,Pitch-Tone-H,Pitch-Tone-L,Color-RY-H,Color-RY-L,0
48,49.0,6039.0,0Lu3AE4Qvo,Color-37,Shape-BK2-H,Shape-BK2-L,Color-RY-H,Color-RY-L,1
49,50.0,5536.0,0Lu3AE4Qvo,Color-37,Affect-PD-H,Affect-PD-L,Color-YB-L,Color-YB-H,1
50,51.0,18564.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Affect-PD-H,Affect-PD-L,0
51,52.0,4725.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Size-Diamonds-H,Size-Diamonds-L,0
52,53.0,4562.0,0Lu3AE4Qvo,Color-37,Size-Diamonds-L,Size-Diamonds-H,Color-RG-H,Color-RG-L,1
53,54.0,10549.0,0Lu3AE4Qvo,Color-37,Color-RG-L,Color-RG-H,Pitch-Tone-H,Pitch-Tone-L,1
54,55.0,18148.0,0Lu3AE4Qvo,Color-37,Affect-PD-L,Affect-PD-H,Color-RB-L,Color-RB-H,1
55,56.0,20160.0,0Lu3AE4Qvo,Color-37,Color-RY-H,Color-RY-L,Speed-SP2-H,Speed-SP2-L,0
56,57.0,2682.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Shape-BK2-L,Shape-BK2-H,0
57,58.0,18294.0,0Lu3AE4Qvo,Color-37,Affect-PD-H,Affect-PD-L,Color-RY-H,Color-RY-L,1
58,59.0,2848.0,0Lu3AE4Qvo,Color-37,Shape-BK2-H,Shape-BK2-L,Color-YB-L,Color-YB-H,1
59,60.0,5345.0,0Lu3AE4Qvo,Color-37,Speed-SP2-H,Speed-SP2-L,Color-YB-L,Color-YB-H,1
60,61.0,5707.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Size-Diamonds-L,Size-Diamonds-H,0
61,62.0,9766.0,0Lu3AE4Qvo,Color-37,Color-RB-L,Color-RB-H,Pitch-Tone-L,Pitch-Tone-H,1
62,63.0,5906.0,0Lu3AE4Qvo,Color-37,Noise-Tone-L,Noise-Tone-H,Color-RG-H,Color-RG-L,0
63,64.0,4494.0,0Lu3AE4Qvo,Color-37,Color-YB-H,Color-YB-L,Noise-Tone-L,Noise-Tone-H,1
0,1.0,6182.0,1tkMMO3MM5,Color-21,Shape-BK2-L,Shape-BK2-H,Color-RG-L,Color-RG-H,0
1,2.0,5346.0,1tkMMO3MM5,Color-21,Color-YB-H,Color-YB-L,Amp-Piano-H,Amp-Piano-L,0
2,3.0,7214.0,1tkMMO3MM5,Color-21,Amp-Piano-L,Amp-Piano-H,Color-RY-H,Color-RY-L,1
3,4.0,7757.0,1tkMMO3MM5,Color-21,Color-RG-L,Color-RG-H,Speed-SP1-L,Speed-SP1-H,0
4,5.0,5174.0,1tkMMO3MM5,Color-21,Pitch-Piano-H,Pitch-Piano-L,Color-YB-H,Color-YB-L,0
5,6.0,8361.0,1tkMMO3MM5,Color-21,Color-RB-H,Color-RB-L,Noise-Piano-L,Noise-Piano-H,1
6,7.0,3725.0,1tkMMO3MM5,Color-21,Color-RG-L,Color-RG-H,Brightness-Squares-L,Brightness-Squares-H,1
7,8.0,4302.0,1tkMMO3MM5,Color-21,Affect-EB-H,Affect-EB-L,Color-YB-H,Color-YB-L,0
8,9.0,5047.0,1tkMMO3MM5,Color-21,Amp-Piano-H,Amp-Piano-L,Color-YB-H,Color-YB-L,0
9,10.0,5476.0,1tkMMO3MM5,Color-21,Pitch-Piano-H,Pitch-Piano-L,Color-RB-L,Color-RB-H,0
10,11.0,2653.0,1tkMMO3MM5,Color-21,Shape-BK2-L,Shape-BK2-H,Color-RY-H,Color-RY-L,1
11,12.0,3423.0,1tkMMO3MM5,Color-21,Speed-SP1-L,Speed-SP1-H,Color-RY-H,Color-RY-L,1
12,13.0,5320.0,1tkMMO3MM5,Color-21,Amp-Piano-L,Amp-Piano-H,Color-RG-L,Color-RG-H,0
13,14.0,8950.0,1tkMMO3MM5,Color-21,Noise-Piano-L,Noise-Piano-H,Color-RG-L,Color-RG-H,0
14,15.0,5468.0,1tkMMO3MM5,Color-21,Color-RY-L,Color-RY-H,Noise-Piano-H,Noise-Piano-L,1
15,16.0,6688.0,1tkMMO3MM5,Color-21,Color-RY-L,Color-RY-H,Pitch-Piano-H,Pitch-Piano-L,1
16,17.0,3205.0,1tkMMO3MM5,Color-21,Color-RB-H,Color-RB-L,Size-Triangles-L,Size-Triangles-H,1
17,18.0,4415.0,1tkMMO3MM5,Color-21,Pitch-Piano-L,Pitch-Piano-H,Color-RG-L,Color-RG-H,1
18,19.0,3070.0,1tkMMO3MM5,Color-21,Color-RY-L,Color-RY-H,Brightness-Squares-H,Brightness-Squares-L,0
19,20.0,3645.0,1tkMMO3MM5,Color-21,Color-YB-H,Color-YB-L,Speed-SP1-H,Speed-SP1-L,0
20,21.0,3181.0,1tkMMO3MM5,Color-21,Brightness-Squares-L,Brightness-Squares-H,Color-RY-H,Color-RY-L,0
