,trialNum,rt,subject,condition,InducerL,InducerR,ConcurrentL,ConcurrentR,choice
62,63.0,2990.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-H,Shape-BK3-L,Color-RY-H,Color-RY-L,0
63,64.0,4748.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Pulse-H,Noise-Pulse-L,Affect-EB-H,Affect-EB-L,1
64,65.0,3118.0,0BwAB3cQny,Noise-Shape-Speed-10,Size-Triangles-H,Size-Triangles-L,Speed-SP3-L,Speed-SP3-H,1
65,66.0,5105.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-H,Noise-Hum-L,Brightness-Squares-L,Brightness-Squares-H,0
66,67.0,3745.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-H,Shape-BK3-L,Speed-SP2-H,Speed-SP2-L,1
67,68.0,4267.0,0BwAB3cQny,Noise-Shape-Speed-10,Pitch-Piano-H,Pitch-Piano-L,Shape-BK2-L,Shape-BK2-H,1
68,69.0,5038.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-L,Speed-SP1-H,Pitch-Piano-L,Pitch-Piano-H,1
69,70.0,4068.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-L,Speed-SP1-H,Noise-Hum-L,Noise-Hum-H,1
70,71.0,4830.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-H,Speed-SP1-L,Shape-BK2-L,Shape-BK2-H,0
71,72.0,3603.0,0BwAB3cQny,Noise-Shape-Speed-10,Affect-EB-L,Affect-EB-H,Shape-BK4-H,Shape-BK4-L,0
72,73.0,7115.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Pulse-L,Noise-Pulse-H,Speed-SP1-L,Speed-SP1-H,1
73,74.0,4761.0,0BwAB3cQny,Noise-Shape-Speed-10,Affect-EB-L,Affect-EB-H,Shape-BK2-H,Shape-BK2-L,0
74,75.0,4132.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-H,Noise-Hum-L,Speed-SP1-H,Speed-SP1-L,1
75,76.0,3962.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Hum-L,Noise-Hum-H,Size-Triangles-H,Size-Triangles-L,0
76,77.0,5122.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-H,Speed-SP1-L,Amp-Pulse-H,Amp-Pulse-L,0
77,78.0,4801.0,0BwAB3cQny,Noise-Shape-Speed-10,Speed-SP1-L,Speed-SP1-H,Size-Triangles-L,Size-Triangles-H,0
78,79.0,3190.0,0BwAB3cQny,Noise-Shape-Speed-10,Size-Triangles-L,Size-Triangles-H,Noise-Tone-H,Noise-Tone-L,0
79,80.0,3907.0,0BwAB3cQny,Noise-Shape-Speed-10,Shape-BK3-H,Shape-BK3-L,Size-Triangles-H,Size-Triangles-L,1
80,81.0,10767.0,0BwAB3cQny,Noise-Shape-Speed-10,Brightness-Squares-L,Brightness-Squares-H,Noise-Piano-L,Noise-Piano-H,1
81,82.0,4304.0,0BwAB3cQny,Noise-Shape-Speed-10,Noise-Pulse-H,Noise-Pulse-L,Size-Triangles-L,Size-Triangles-H,0
