"X","trialNum","rt","subject","condition","InducerL","InducerR","ConcurrentL","ConcurrentR","choice"
84,85,4141,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Diamonds-L","Brightness-Diamonds-H","Color-RB-L","Color-RB-H",1
85,86,6299,"07v6VRVWrL","Brightness-Amp-Affect-12","Amp-Hum-L","Amp-Hum-H","Speed-SP1-H","Speed-SP1-L",1
86,87,4020,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-PD-L","Affect-PD-H","Amp-Pulse-L","Amp-Pulse-H",0
87,88,3511,"07v6VRVWrL","Brightness-Amp-Affect-12","Speed-SP1-L","Speed-SP1-H","Amp-Tone-L","Amp-Tone-H",1
88,89,3542,"07v6VRVWrL","Brightness-Amp-Affect-12","Shape-BK3-H","Shape-BK3-L","Affect-HS-H","Affect-HS-L",1
89,90,2661,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-PD-H","Affect-PD-L","Color-RB-L","Color-RB-H",0
90,91,2661,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Diamonds-H","Brightness-Diamonds-L","Size-Squares-H","Size-Squares-L",0
91,92,3395,"07v6VRVWrL","Brightness-Amp-Affect-12","Size-Squares-L","Size-Squares-H","Amp-Tone-H","Amp-Tone-L",1
92,93,3381,"07v6VRVWrL","Brightness-Amp-Affect-12","Affect-SC-L","Affect-SC-H","Size-Squares-L","Size-Squares-H",0
93,94,2606,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Circles-L","Brightness-Circles-H","Affect-HS-H","Affect-HS-L",1
94,95,3194,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Diamonds-L","Brightness-Diamonds-H","Amp-Pulse-L","Amp-Pulse-H",0
95,96,2054,"07v6VRVWrL","Brightness-Amp-Affect-12","Brightness-Diamonds-L","Brightness-Diamonds-H","Affect-PD-L","Affect-PD-H",0
0,1,4554,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Brightness-Circles-L","Brightness-Circles-H",1
1,2,4302,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-L","Brightness-Triangles-H","Amp-Tone-H","Amp-Tone-L",1
2,3,6436,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-H","Amp-Pulse-L","Pitch-Hum-L","Pitch-Hum-H",0
3,4,5363,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-H","Brightness-Triangles-L","Pitch-Hum-H","Pitch-Hum-L",1
4,5,5270,"0hyFge02V3","Brightness-Amp-Affect-11","Color-RY-L","Color-RY-H","Amp-Tone-L","Amp-Tone-H",1
5,6,4500,"0hyFge02V3","Brightness-Amp-Affect-11","Shape-BK3-H","Shape-BK3-L","Amp-Hum-H","Amp-Hum-L",0
6,7,4726,"0hyFge02V3","Brightness-Amp-Affect-11","Pitch-Hum-H","Pitch-Hum-L","Affect-SC-H","Affect-SC-L",1
7,8,5770,"0hyFge02V3","Brightness-Amp-Affect-11","Pitch-Hum-L","Pitch-Hum-H","Brightness-Circles-H","Brightness-Circles-L",0
8,9,7443,"0hyFge02V3","Brightness-Amp-Affect-11","Noise-Piano-L","Noise-Piano-H","Amp-Tone-L","Amp-Tone-H",1
9,10,5194,"0hyFge02V3","Brightness-Amp-Affect-11","Speed-SP2-H","Speed-SP2-L","Amp-Tone-H","Amp-Tone-L",0
10,11,8237,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-H","Brightness-Squares-L","Noise-Piano-H","Noise-Piano-L",1
11,12,6975,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-L","Amp-Piano-H","Noise-Piano-L","Noise-Piano-H",1
12,13,4971,"0hyFge02V3","Brightness-Amp-Affect-11","Speed-SP2-H","Speed-SP2-L","Brightness-Circles-H","Brightness-Circles-L",0
13,14,5375,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-H","Brightness-Squares-L","Size-Squares-L","Size-Squares-H",1
14,15,4502,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-L","Brightness-Triangles-H","Amp-Hum-H","Amp-Hum-L",1
15,16,3201,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-L","Affect-HS-H","Brightness-Triangles-L","Brightness-Triangles-H",0
16,17,4880,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-L","Brightness-Squares-H","Amp-Piano-H","Amp-Piano-L",1
17,18,5768,"0hyFge02V3","Brightness-Amp-Affect-11","Size-Squares-L","Size-Squares-H","Amp-Tone-L","Amp-Tone-H",0
18,19,4608,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-L","Amp-Piano-H","Color-RY-H","Color-RY-L",0
19,20,2765,"0hyFge02V3","Brightness-Amp-Affect-11","Color-RY-H","Color-RY-L","Brightness-Diamonds-L","Brightness-Diamonds-H",0
20,21,6882,"0hyFge02V3","Brightness-Amp-Affect-11","Speed-SP2-L","Speed-SP2-H","Affect-SC-L","Affect-SC-H",0
21,22,7343,"0hyFge02V3","Brightness-Amp-Affect-11","Pitch-Hum-L","Pitch-Hum-H","Amp-Hum-H","Amp-Hum-L",0
22,23,4278,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-H","Brightness-Triangles-L","Noise-Piano-L","Noise-Piano-H",0
23,24,3834,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-L","Amp-Piano-H","Size-Squares-H","Size-Squares-L",1
24,25,5222,"0hyFge02V3","Brightness-Amp-Affect-11","Pitch-Hum-L","Pitch-Hum-H","Affect-PD-H","Affect-PD-L",0
25,26,4711,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-L","Amp-Pulse-H","Size-Squares-H","Size-Squares-L",1
26,27,5157,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-L","Affect-HS-H","Speed-SP2-H","Speed-SP2-L",1
27,28,4020,"0hyFge02V3","Brightness-Amp-Affect-11","Color-RY-H","Color-RY-L","Amp-Hum-L","Amp-Hum-H",0
28,29,3675,"0hyFge02V3","Brightness-Amp-Affect-11","Shape-BK3-H","Shape-BK3-L","Affect-PD-L","Affect-PD-H",0
29,30,2892,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-PD-L","Affect-PD-H","Brightness-Diamonds-L","Brightness-Diamonds-H",0
30,31,6371,"0hyFge02V3","Brightness-Amp-Affect-11","Shape-BK3-L","Shape-BK3-H","Amp-Tone-H","Amp-Tone-L",1
31,32,4095,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Brightness-Diamonds-L","Brightness-Diamonds-H",1
32,33,4560,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-H","Amp-Pulse-L","Shape-BK3-L","Shape-BK3-H",1
33,34,4909,"0hyFge02V3","Brightness-Amp-Affect-11","Speed-SP2-H","Speed-SP2-L","Brightness-Diamonds-H","Brightness-Diamonds-L",0
34,35,3858,"0hyFge02V3","Brightness-Amp-Affect-11","Noise-Piano-L","Noise-Piano-H","Brightness-Circles-H","Brightness-Circles-L",0
35,36,3823,"0hyFge02V3","Brightness-Amp-Affect-11","Pitch-Hum-L","Pitch-Hum-H","Brightness-Diamonds-H","Brightness-Diamonds-L",0
36,37,2781,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-L","Brightness-Triangles-H","Affect-PD-H","Affect-PD-L",1
37,38,3018,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-H","Affect-EB-L","Size-Squares-H","Size-Squares-L",0
38,39,3456,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Affect-PD-L","Affect-PD-H",0
39,40,5056,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-L","Amp-Pulse-H","Affect-PD-H","Affect-PD-L",0
40,41,3869,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-L","Brightness-Squares-H","Shape-BK3-H","Shape-BK3-L",0
41,42,2533,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-HS-H","Affect-HS-L","Size-Squares-L","Size-Squares-H",1
42,43,7749,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-L","Amp-Pulse-H","Noise-Piano-L","Noise-Piano-H",1
43,44,4039,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-L","Brightness-Squares-H","Color-RY-L","Color-RY-H",1
44,45,4486,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-L","Affect-EB-H","Speed-SP2-H","Speed-SP2-L",1
45,46,3489,"0hyFge02V3","Brightness-Amp-Affect-11","Speed-SP2-L","Speed-SP2-H","Affect-PD-L","Affect-PD-H",0
46,47,3992,"0hyFge02V3","Brightness-Amp-Affect-11","Color-RY-L","Color-RY-H","Brightness-Circles-L","Brightness-Circles-H",1
47,48,4048,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-H","Brightness-Triangles-L","Affect-SC-L","Affect-SC-H",1
48,49,4865,"0hyFge02V3","Brightness-Amp-Affect-11","Speed-SP2-L","Speed-SP2-H","Amp-Hum-H","Amp-Hum-L",1
49,50,9096,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Piano-H","Amp-Piano-L","Affect-SC-L","Affect-SC-H",1
50,51,5181,"0hyFge02V3","Brightness-Amp-Affect-11","Size-Squares-L","Size-Squares-H","Brightness-Circles-H","Brightness-Circles-L",1
51,52,3508,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Squares-L","Brightness-Squares-H","Affect-PD-L","Affect-PD-H",1
52,53,3801,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-L","Brightness-Triangles-H","Shape-BK3-L","Shape-BK3-H",1
53,54,8294,"0hyFge02V3","Brightness-Amp-Affect-11","Brightness-Triangles-L","Brightness-Triangles-H","Affect-PD-L","Affect-PD-H",0
54,55,8676,"0hyFge02V3","Brightness-Amp-Affect-11","Noise-Piano-L","Noise-Piano-H","Affect-SC-H","Affect-SC-L",1
55,56,4500,"0hyFge02V3","Brightness-Amp-Affect-11","Amp-Pulse-L","Amp-Pulse-H","Color-RY-H","Color-RY-L",0
56,57,4300,"0hyFge02V3","Brightness-Amp-Affect-11","Affect-EB-L","Affect-EB-H","Amp-Piano-H","Amp-Piano-L",1
